"order_id","item_price","quantity","item_cat","item_name","created_at","cust_id","customer","delivery_address1","delivery_address2","delivery_city","delivery_zipcode","delivery"
1,26.990000,74,Pizza,Hawaiian,2024-02-24 14:46:09.861,582,Eberto Nelthrop,"2185 Steensland Trail","8 Melvin Plaza",Peimei,,true
2,25.990000,66,Pizza,Pepperoni,2024-02-24 14:46:09.861,433,Arabelle Naisbit,"74757 Derek Plaza","1 Lukken Place",Ayolas,,true
3,29.990000,34,Pizza,Cheese,2024-02-24 14:46:09.861,116,Skyler Herreran,"61579 Pennsylvania Road","10912 Burning Wood Road",Arsen’yev,"692338",true
4,31.990000,20,Pizza,Pepperoni,2024-02-24 14:46:09.861,502,Dolf McIntosh,"56 Beilfuss Street","819 Sage Lane",San Pa Tong,"50120",true
5,26.990000,86,Pizza,Hawaiian,2024-02-24 14:46:09.861,871,Avrit Tewkesberrie,"69775 Golf View Park","6 Pearson Parkway",Ujung Gading,,false
6,24.990000,17,Pizza,Cheese,2024-02-24 14:46:09.861,570,Flor Skitch,"88 Kropf Center","59 Mesta Center",Mazār-e Sharīf,,true
7,21.990000,81,Pizza,Hawaiian,2024-02-24 14:46:09.861,828,Peggi Lingner,"58788 Melrose Pass","22 Loomis Street",Fukuma,"811-3522",true
8,25.990000,14,Pizza,Pepperoni,2024-02-24 14:46:09.861,889,Avrom Robbe,"37027 Victoria Street","88 Oakridge Circle",Jönköping,"553 33",false
9,21.990000,99,Pizza,Hawaiian,2024-02-24 14:46:09.861,176,Jocelyne Edgin,"6 Ryan Lane","02 Di Loreto Place",Waipare,,true
10,29.990000,16,Pizza,Cheese,2024-02-24 14:46:09.861,291,Hildegarde Goodreid,"0956 Tennessee Plaza","0 Gateway Junction",Bao’an,,true
11,20.990000,60,Pizza,Pepperoni,2024-02-24 14:46:09.861,163,Jerome Niccolls,"48 Anthes Trail","02 Springview Parkway",Lucan,K78,true
12,24.990000,5,Pizza,Cheese,2024-02-24 14:46:09.861,581,Darnell Godding,"5855 Iowa Way","48758 Parkside Street",Jindong,,true
13,26.990000,46,Pizza,Hawaiian,2024-02-24 14:46:09.861,231,Dana Dignon,"2282 Milwaukee Alley","61830 Thierer Way",Atães,"4800-230",true
14,19.990000,73,Pizza,Cheese,2024-02-24 14:46:09.861,937,Joane Nezey,"05587 Union Pass","78192 Norway Maple Park",Mingelchaur,,true
15,21.990000,97,Pizza,Hawaiian,2024-02-24 14:46:09.861,649,Suzette Verbeek,"06324 Blackbird Lane","637 Pleasure Junction",Moate,D17,false
16,25.990000,96,Pizza,Pepperoni,2024-02-24 14:46:09.861,882,Bertha Shearn,"2 Mayfield Place","4 Maple Wood Crossing",Farrokh Shahr,,true
17,20.990000,44,Pizza,Pepperoni,2024-02-24 14:46:09.861,495,Padraig Verity,"056 Towne Lane","7 Marquette Court",El Ingenio,,false
18,21.990000,86,Pizza,Hawaiian,2024-02-24 14:46:09.861,415,Thorndike MacGebenay,"39 Toban Plaza","21661 Toban Center",Lomintsevskiy,"301573",true
19,19.990000,98,Pizza,Cheese,2024-02-24 14:46:09.861,244,Marcellus Duly,"4 Tennessee Crossing","90042 Swallow Drive",Ina,"962-0042",false
20,21.990000,21,Pizza,Hawaiian,2024-02-24 14:46:09.861,285,Rolando Heindrich,"7445 Gerald Place","87 Eggendart Road",Dapuchaihe,,false
21,19.990000,14,Pizza,Cheese,2024-02-24 14:46:09.861,219,Ermina Laverty,"05678 Steensland Pass","3407 Springs Place",Ngulung Wetan,,false
22,26.990000,54,Pizza,Hawaiian,2024-02-24 14:46:09.861,495,Padraig Verity,"266 Bonner Avenue","0 Monument Park",Maracanã,"68710-000",false
23,25.990000,35,Pizza,Pepperoni,2024-02-24 14:46:09.861,208,Darcy Seals,"197 Kropf Circle","73603 Nova Court",Edsbyn,"828 25",false
24,19.990000,39,Pizza,Cheese,2024-02-24 14:46:09.861,459,Lolita Colliard,"64772 Loftsgordon Street","5 Lighthouse Bay Place",Wushi,,false
25,25.990000,5,Pizza,Pepperoni,2024-02-24 14:46:09.861,769,Shae Kennady,"0 Dwight Road","1770 Arkansas Point",Inriville,"2587",false
26,25.990000,7,Pizza,Pepperoni,2024-02-24 14:46:09.861,191,Joy Padfield,"80062 Hintze Plaza","36979 Oakridge Center",Samir,,false
27,24.990000,51,Pizza,Cheese,2024-02-24 14:46:09.861,156,Catlin Rouke,"06341 2nd Hill","68 Morningstar Pass",Xidianzi,,false
28,19.990000,32,Pizza,Cheese,2024-02-24 14:46:09.861,725,Emmerich Morefield,"67544 Carpenter Trail","91253 Knutson Pass",Babah Rot,,true
29,31.990000,25,Pizza,Pepperoni,2024-02-24 14:46:09.861,396,Hally Misson,"3 Ryan Point","70 Hanover Plaza",Hejiang,,true
30,31.990000,43,Pizza,Pepperoni,2024-02-24 14:46:09.861,30,Dalton Heaviside,"0161 Bartelt Point","0221 Becker Pass",Mhlambanyatsi,,false
31,19.990000,83,Pizza,Cheese,2024-02-24 14:46:09.861,370,Malanie Coulbeck,"4171 Vernon Drive","3228 Westridge Crossing",Berekum,,true
32,21.990000,99,Pizza,Hawaiian,2024-02-24 14:46:09.861,855,Davidson Iddon,"827 Cherokee Way","232 Hazelcrest Place",Mariara,,false
33,25.990000,2,Pizza,Pepperoni,2024-02-24 14:46:09.861,438,Doreen Feyer,"747 Gale Drive","426 Weeping Birch Parkway",Danilov,"152070",true
34,20.990000,16,Pizza,Pepperoni,2024-02-24 14:46:09.861,689,Cleo Cogley,"6 Thierer Hill","315 Granby Crossing",Deskáti,,true
35,19.990000,47,Pizza,Cheese,2024-02-24 14:46:09.861,436,Lynn O'Coskerry,"63 Pearson Terrace","1815 Barby Road",Nara,,true
36,21.990000,42,Pizza,Hawaiian,2024-02-24 14:46:09.861,750,Dasya Genge,"283 Clemons Parkway","86 Forest Dale Street",Lamadelaine,L-4888,false
37,25.990000,37,Pizza,Pepperoni,2024-02-24 14:46:09.861,844,Eugen Skeeles,"8 High Crossing Drive","5 Evergreen Pass",Hajoho,,true
38,20.990000,98,Pizza,Pepperoni,2024-02-24 14:46:09.861,729,Cecilla Birtchnell,"042 David Pass","37532 Ludington Center",Taldan,"676009",true
39,31.990000,53,Pizza,Pepperoni,2024-02-24 14:46:09.861,820,Brittaney Leidl,"6 Anzinger Place","18916 Arrowood Court",Zungeru,,true
40,29.990000,18,Pizza,Cheese,2024-02-24 14:46:09.861,768,Nevins Adne,"69720 Hudson Place","980 Anhalt Way",Biritiba Mirim,"08940-000",false
41,21.990000,30,Pizza,Hawaiian,2024-02-24 14:46:09.861,709,Jacki Adriani,"0 Southridge Way","0 Vera Hill",Hengfan,,true
42,29.990000,50,Pizza,Cheese,2024-02-24 14:46:09.861,551,Parnell MacCoughan,"2 Mayfield Place","4 Maple Wood Crossing",Farrokh Shahr,,true
43,25.990000,53,Pizza,Pepperoni,2024-02-24 14:46:09.861,816,Pauly Axleby,"76 Arkansas Trail","94011 Iowa Court",Esmeraldas,"35740-000",true
44,19.990000,6,Pizza,Cheese,2024-02-24 14:46:09.861,989,Lise Rudinger,"2935 Lakewood Hill","4992 Briar Crest Junction",Viamão,"94400-000",true
45,26.990000,80,Pizza,Hawaiian,2024-02-24 14:46:09.861,722,Allianora Benian,"8698 Stoughton Place","774 Southridge Street",Vila do Maio,,true
46,21.990000,8,Pizza,Hawaiian,2024-02-24 14:46:09.861,364,Darelle Spinnace,"922 Lerdahl Trail","62 Bultman Lane",Doro Oo,,false
47,24.990000,77,Pizza,Cheese,2024-02-24 14:46:09.861,716,York Aird,"2 Carberry Way","772 Bobwhite Alley",Karagandy,,true
48,20.990000,9,Pizza,Pepperoni,2024-02-24 14:46:09.861,824,Vonni Gisbey,"37027 Victoria Street","88 Oakridge Circle",Jönköping,"553 33",true
49,31.990000,92,Pizza,Pepperoni,2024-02-24 14:46:09.861,490,Alyce Donaho,"812 Kropf Park","81 Aberg Crossing",Horní Cerekev,"394 03",true
50,31.990000,9,Pizza,Pepperoni,2024-02-24 14:46:09.861,418,Idette Gotter,"46120 Northridge Court","98611 Sullivan Plaza",Pacaembu,"17860-000",true
51,24.990000,11,Pizza,Cheese,2024-02-24 14:46:09.861,504,Charity Slarke,"8 Cambridge Junction","1994 Cordelia Avenue",Nha Trang,,false
52,20.990000,75,Pizza,Pepperoni,2024-02-24 14:46:09.861,88,Torrey Wanderschek,"6 Di Loreto Trail","25 Northridge Lane",Xinxu,,false
53,20.990000,34,Pizza,Pepperoni,2024-02-24 14:46:09.861,905,Grannie Scoterbosh,"6 Clarendon Pass","3 Sherman Road",Bartica,,true
54,24.990000,18,Pizza,Cheese,2024-02-24 14:46:09.861,106,Deeyn Cohen,"6017 Troy Alley","46240 Tennyson Avenue",Pandakan,"7402",true
55,25.990000,37,Pizza,Pepperoni,2024-02-24 14:46:09.861,547,Margarette Veque,"35 Grasskamp Pass","3341 Buell Center",Mandal,,true
56,25.990000,8,Pizza,Pepperoni,2024-02-24 14:46:09.861,924,Addi Postin,"984 Arrowood Junction","1 Lillian Point",Yanglin,,true
57,26.990000,12,Pizza,Hawaiian,2024-02-24 14:46:09.861,590,Lanita Sumers,"627 Elgar Place","62111 Nobel Street",Gózd,"26-634",true
58,24.990000,42,Pizza,Cheese,2024-02-24 14:46:09.861,812,Gian Proudley,"290 Hollow Ridge Way","01785 Marcy Alley",Bela Vista,"79260-000",true
59,25.990000,87,Pizza,Pepperoni,2024-02-24 14:46:09.861,800,Shelby Beynkn,"105 Steensland Hill","07452 Hauk Point",Areia Branca,"49580-000",true
60,31.990000,60,Pizza,Pepperoni,2024-02-24 14:46:09.861,909,Christin Venner,"0901 Mosinee Drive","97440 Ridgeway Hill",Tutup,,true
61,21.990000,79,Pizza,Hawaiian,2024-02-24 14:46:09.861,945,Maryanna Bonwick,"66012 Pearson Hill","9556 Emmet Pass",Ouricuri,"56200-000",true
62,25.990000,93,Pizza,Pepperoni,2024-02-24 14:46:09.861,570,Flor Skitch,"26864 Harbort Crossing","3018 Corry Plaza",Paatan,"9406",false
63,24.990000,82,Pizza,Cheese,2024-02-24 14:46:09.861,758,Adelaide Fletcher,"95477 Cardinal Crossing","0 Jay Way",Tshaneni,,false
64,29.990000,36,Pizza,Cheese,2024-02-24 14:46:09.861,65,Lucy Blumer,"049 Bluestem Way","5 Briar Crest Circle",Buray,"5020",true
65,26.990000,87,Pizza,Hawaiian,2024-02-24 14:46:09.861,884,Jessee Shearsby,"52027 Hermina Junction","609 Oakridge Trail",Xiahong,,false
66,25.990000,89,Pizza,Pepperoni,2024-02-24 14:46:09.861,231,Dana Dignon,"6668 Sloan Place","105 Annamark Park",Laguna,"88790-000",false
67,26.990000,12,Pizza,Hawaiian,2024-02-24 14:46:09.861,771,Erika Thinn,"8 Northwestern Plaza","00740 Atwood Point",Kadubamban,,false
68,21.990000,32,Pizza,Hawaiian,2024-02-24 14:46:09.861,378,Caroline Kedward,"9164 Dwight Avenue","19 Tomscot Way",Chumpi,,false
69,26.990000,59,Pizza,Hawaiian,2024-02-24 14:46:09.861,128,Truman Brownscombe,"5 Fordem Park","8167 Sheridan Plaza",Laibin,,true
70,20.990000,62,Pizza,Pepperoni,2024-02-24 14:46:09.861,182,Nana Frampton,"09 Hoepker Place","5 Golf Point",Kauit,"1102",false
71,25.990000,38,Pizza,Pepperoni,2024-02-24 14:46:09.861,690,Dion Strase,"94092 Delaware Circle","1 Monterey Drive",Gostovići,,false
72,29.990000,35,Pizza,Cheese,2024-02-24 14:46:09.861,395,Skell Petteford,"8877 Commercial Crossing","3 Paget Street",Vostochnyy,"612711",false
73,20.990000,84,Pizza,Pepperoni,2024-02-24 14:46:09.861,431,Wendie Blint,"45235 Troy Alley","05 Sunbrook Center",Shādegān,,true
74,20.990000,6,Pizza,Pepperoni,2024-02-24 14:46:09.861,393,Keenan Pyzer,"1485 Redwing Junction","64 Village Terrace",Niopanda,,true
75,19.990000,39,Pizza,Cheese,2024-02-24 14:46:09.861,347,Clarey Markel,"6 Vera Parkway","1 Rockefeller Drive",Embalse,"5856",false
76,25.990000,88,Pizza,Pepperoni,2024-02-24 14:46:09.861,664,Lauryn Melmar,"62863 Dryden Crossing","77 Hanson Lane",Milove,,true
77,26.990000,25,Pizza,Hawaiian,2024-02-24 14:46:09.861,685,Kristen Manderson,"035 Dorton Trail","8 Jenna Hill",Sakata,"979-1504",true
78,25.990000,52,Pizza,Pepperoni,2024-02-24 14:46:09.861,505,Brok Giottini,"3267 Crowley Pass","936 Lunder Way",Tomay Kichwa,,false
79,24.990000,31,Pizza,Cheese,2024-02-24 14:46:09.861,132,Con Desport,"0172 Ronald Regan Alley","50 Lillian Road",Gareba,,false
80,25.990000,20,Pizza,Pepperoni,2024-02-24 14:46:09.861,32,Gael Wittrington,"0 Eastlawn Crossing","5575 Farmco Crossing",Pakisrejo,,true
81,21.990000,37,Pizza,Hawaiian,2024-02-24 14:46:09.861,937,Joane Nezey,"8 Dayton Drive","0264 Lindbergh Crossing",Taoling,,true
82,29.990000,83,Pizza,Cheese,2024-02-24 14:46:09.861,28,Gerianna Mintram,"033 Truax Pass","3987 Old Gate Hill",Oslo,"1068",false
83,29.990000,46,Pizza,Cheese,2024-02-24 14:46:09.861,37,Evie Abrashkov,"20 Ilene Trail","7990 Cordelia Hill",Sawara,"811-1122",true
84,21.990000,84,Pizza,Hawaiian,2024-02-24 14:46:09.861,272,Fabiano Reide,"57827 Carpenter Street","28 Algoma Pass",La Suiza,"30502",false
85,26.990000,55,Pizza,Hawaiian,2024-02-24 14:46:09.861,88,Torrey Wanderschek,"555 5th Alley","308 Grayhawk Park",Lagodekhi,,false
